Region,Display_Name,Population,Lat,Long,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,Today,Region_Deaths,FHM_Deaths_Today,Diff
Region Blekinge,Blekinge,159606,56.16156,15.58661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,13,13,0
Region Dalarna,Dalarna,287966,60.602778,15.656111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,4,1,1,4,2,0,0,6,0,5,6,2,1,1,0,6,4,1,15,0,0,0,2,7,1,6,0,0,3,1,7,0,10,1,0,0,0,0,6,0,4,0,1,0,11,0,5,0,0,0,0,0,0,0,1,0,0,8,0,6,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,157,157,0
Region Gotland,Gotland,59686,57.628889,18.307222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,6,-1
Region Gävleborg,Gävleborg,287382,60.674722,17.144444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,12,2,8,0,0,0,6,2,0,1,0,0,3,1,4,1,2,1,0,4,0,3,0,2,2,2,3,3,3,3,3,0,0,0,3,6,0,1,0,0,0,4,2,2,1,0,1,0,1,0,2,1,3,0,0,3,3,0,2,1,0,1,2,3,0,0,0,0,0,1,1,2,0,0,0,0,0,1,3,1,0,0,4,0,0,131,131,0
Region Halland,Halland,333848,56.658333,12.900278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,2,0,0,2,1,2,0,1,0,0,0,0,2,2,2,2,0,0,0,2,2,1,2,0,0,2,0,0,2,0,0,1,2,1,0,2,1,1,0,1,0,1,1,0,0,0,1,2,0,0,0,3,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,6,0,0,0,0,1,73,72,-1
Region Jämtland Härjedalen,Jämtland,130810,63.158056,14.679167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,1,0,7,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,1,0,3,0,0,0,1,0,0,0,4,0,0,0,0,6,54,54,0
Region Jönköpings län,Jönköping,363599,57.78145,14.15618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,1,2,0,2,0,2,1,1,3,3,1,1,1,3,4,1,3,1,0,0,1,2,6,2,2,0,1,3,0,10,2,2,0,3,3,6,4,0,8,0,2,1,1,11,2,3,0,0,3,1,4,0,0,0,0,5,2,2,1,0,7,1,1,0,0,1,3,0,0,2,2,1,1,2,0,0,1,0,2,0,0,0,0,7,2,2,0,1,0,0,2,0,0,169,169,0
Region Kalmar län,Kalmar län,245446,56.669444,16.321667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,7,0,0,0,0,1,0,0,3,0,0,1,1,4,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,1,0,0,1,3,1,55,55,0
Region Kronoberg,Kronoberg,201469,56.889167,14.802778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,2,0,1,0,1,2,0,1,2,0,0,3,2,3,2,0,0,0,2,1,2,5,2,0,0,0,3,0,2,2,0,0,0,8,0,0,5,0,0,2,2,3,0,3,0,0,1,3,2,2,2,2,0,1,3,1,1,0,0,0,1,1,0,0,0,0,0,1,2,1,2,2,0,0,0,0,2,96,96,0
Region Norrbotten,Norrbotten,250093,65.584819,22.1567026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,0,0,2,1,4,0,1,0,0,2,5,3,0,2,1,0,1,3,0,0,0,0,0,4,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,0,0,0,0,2,2,1,3,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,4,71,67,-4
